HPO_ID	term_id	name	N_OMIM_diseases_with_term	frac_OMIM_diseases_with_term	N_Orpha_diseases_with_term	frac_Orpha_diseases_with_term
HP:0000108	108	Renal corticomedullary cysts	11	0.0013	1	0.0002
HP:0000110	110	Renal dysplasia	43	0.0051	30	0.0070
HP:0000111	111	Renal juxtaglomerular cell hypertrophy/hyperplasia	2	0.0002	0	0
HP:0000112	112	Nephropathy	20	0.0024	50	0.0117
HP:0000113	113	Polycystic kidney dysplasia	43	0.0051	18	0.0042
HP:0000114	114	Proximal tubulopathy	16	0.0019	7	0.0016
HP:0000117	117	Renal phosphate wasting	12	0.0014	7	0.0016
HP:0000118	118	Phenotypic abnormality	0	0	8	0.0019
HP:0000119	119	Abnormality of the genitourinary system	13	0.0016	50	0.0117
HP:0000121	121	Nephrocalcinosis	56	0.0067	45	0.0105
HP:0000122	122	Unilateral renal agenesis	64	0.0077	35	0.0082
HP:0000123	123	Nephritis	18	0.0022	12	0.0028
HP:0000124	124	Renal tubular dysfunction	9	0.0011	13	0.0030
HP:0000125	125	Pelvic kidney	15	0.0018	13	0.0030
HP:0000126	126	Hydronephrosis	163	0.0195	149	0.0348
HP:0000127	127	Renal salt wasting	18	0.0022	12	0.0028
HP:0000128	128	Renal potassium wasting	6	0.0007	3	0.0007
HP:0000130	130	Abnormality of the uterus	4	0.0005	20	0.0047
HP:0000131	131	Uterine leiomyoma	5	0.0006	7	0.0016
HP:0000132	132	Menorrhagia	36	0.0043	20	0.0047
HP:0000133	133	Gonadal dysgenesis	19	0.0023	11	0.0026
HP:0000134	134	Female hypogonadism	3	0.0004	8	0.0019
HP:0000135	135	Hypogonadism	70	0.0084	89	0.0208
HP:0000136	136	Bifid uterus	5	0.0006	4	0.0009
HP:0000137	137	Abnormality of the ovary	1	0.0001	15	0.0035
HP:0000138	138	Ovarian cyst	17	0.0020	9	0.0021
HP:0000139	139	Uterine prolapse	4	0.0005	4	0.0009
HP:0000140	140	Abnormality of the menstrual cycle	3	0.0004	14	0.0033
HP:0000141	141	Amenorrhea	14	0.0017	26	0.0061
HP:0000142	142	Abnormal vagina morphology	2	0.0002	16	0.0037
HP:0000143	143	Rectovaginal fistula	19	0.0023	9	0.0021
HP:0000144	144	Decreased fertility	6	0.0007	33	0.0077
HP:0000145	145	Transverse vaginal septum	3	0.0004	1	0.0002
HP:0000147	147	Polycystic ovaries	12	0.0014	41	0.0096
HP:0000148	148	Vaginal atresia	14	0.0017	6	0.0014
HP:0000149	149	Ovarian gonadoblastoma	2	0.0002	2	0.0005
HP:0000150	150	Gonadoblastoma	7	0.0008	11	0.0026
HP:0000151	151	Aplasia of the uterus	14	0.0017	15	0.0035
HP:0000152	152	Abnormality of head or neck	1	0.0001	3	0.0007
HP:0000153	153	Abnormality of the mouth	7	0.0008	9	0.0021
HP:0000154	154	Wide mouth	181	0.0216	106	0.0248
HP:0000155	155	Oral ulcer	27	0.0032	24	0.0056
HP:0000157	157	Abnormality of the tongue	1	0.0001	11	0.0026
HP:0000158	158	Macroglossia	82	0.0098	88	0.0206
HP:0000159	159	Abnormal lip morphology	1	0.0001	10	0.0023
HP:0000160	160	Narrow mouth	193	0.0231	151	0.0353
HP:0000161	161	Median cleft upper lip	27	0.0032	22	0.0051
HP:0000162	162	Glossoptosis	18	0.0022	23	0.0054
HP:0000163	163	Abnormal oral cavity morphology	0	0	11	0.0026
HP:0000164	164	Abnormality of the dentition	84	0.0100	194	0.0453
HP:0000166	166	Severe periodontitis	3	0.0004	5	0.0012
HP:0000168	168	Abnormality of the gingiva	0	0	11	0.0026
HP:0000169	169	Gingival fibromatosis	11	0.0013	10	0.0023
HP:0000171	171	Microglossia	19	0.0023	11	0.0026
HP:0000172	172	Abnormal uvula morphology	0	0	2	0.0005
HP:0000174	174	Abnormal palate morphology	0	0	66	0.0154
HP:0000175	175	Cleft palate	418	0.0500	335	0.0783
HP:0000176	176	Submucous cleft hard palate	37	0.0044	28	0.0065
HP:0000177	177	Abnormal upper lip morphology	1	0.0001	6	0.0014
HP:0000178	178	Abnormal lower lip morphology	1	0.0001	2	0.0005
HP:0000179	179	Thick lower lip vermilion	95	0.0114	49	0.0114
HP:0000180	180	Lobulated tongue	14	0.0017	3	0.0007
HP:0000182	182	Movement abnormality of the tongue	0	0	5	0.0012
HP:0000183	183	Difficulty in tongue movements	3	0.0004	11	0.0026
HP:0000185	185	Cleft soft palate	23	0.0028	9	0.0021
HP:0000187	187	Broad alveolar ridges	11	0.0013	8	0.0019
HP:0000188	188	Short upper lip	6	0.0007	3	0.0007
HP:0000189	189	Narrow palate	62	0.0074	26	0.0061
HP:0000190	190	Abnormal oral frenulum morphology	1	0.0001	15	0.0035
HP:0000191	191	Accessory oral frenulum	15	0.0018	8	0.0019
HP:0000193	193	Bifid uvula	113	0.0135	65	0.0152
HP:0000194	194	Open mouth	93	0.0111	56	0.0131
HP:0000196	196	Lower lip pit	5	0.0006	1	0.0002
HP:0000197	197	Abnormal parotid gland morphology	1	0.0001	2	0.0005
HP:0000198	198	Absence of Stensen duct	3	0.0004	0	0
HP:0000199	199	Tongue nodules	7	0.0008	6	0.0014
HP:0000200	200	Short lingual frenulum	7	0.0008	8	0.0019
HP:0000201	201	Pierre-Robin sequence	41	0.0049	10	0.0023
HP:0000202	202	Orofacial cleft	21	0.0025	68	0.0159
HP:0000204	204	Cleft upper lip	116	0.0139	28	0.0065
HP:0000205	205	Pursed lips	6	0.0007	3	0.0007
HP:0000206	206	Glossitis	3	0.0004	14	0.0033
HP:0000207	207	Triangular mouth	17	0.0020	4	0.0009
HP:0000211	211	Trismus	16	0.0019	11	0.0026
HP:0000212	212	Gingival overgrowth	72	0.0086	69	0.0161
HP:0000214	214	Lip telangiectasia	5	0.0006	2	0.0005
HP:0000215	215	Thick upper lip vermilion	30	0.0036	8	0.0019
HP:0000216	216	Broad secondary alveolar ridge	0	0	2	0.0005
HP:0000217	217	Xerostomia	15	0.0018	34	0.0079
HP:0000218	218	High palate	613	0.0733	291	0.0680
HP:0000219	219	Thin upper lip vermilion	287	0.0343	105	0.0245
HP:0000220	220	Velopharyngeal insufficiency	20	0.0024	7	0.0016
HP:0000221	221	Furrowed tongue	14	0.0017	13	0.0030
HP:0000222	222	Gingival hyperkeratosis	2	0.0002	1	0.0002
HP:0000223	223	Abnormality of taste sensation	0	0	2	0.0005
HP:0000224	224	Hypogeusia	3	0.0004	2	0.0005
HP:0000225	225	Gingival bleeding	21	0.0025	32	0.0075
HP:0000227	227	Tongue telangiectasia	3	0.0004	1	0.0002
HP:0000228	228	Oral cavity telangiectasia	1	0.0001	0	0
HP:0000230	230	Gingivitis	13	0.0016	24	0.0056
HP:0000232	232	Everted lower lip vermilion	91	0.0109	87	0.0203
HP:0000233	233	Thin vermilion border	88	0.0105	88	0.0206
HP:0000234	234	Abnormality of the head	2	0.0002	3	0.0007
HP:0000235	235	Abnormality of the fontanelles or cranial sutures	0	0	13	0.0030
HP:0000236	236	Abnormality of the anterior fontanelle	0	0	3	0.0007
HP:0000237	237	Small anterior fontanelle	9	0.0011	5	0.0012
HP:0000238	238	Hydrocephalus	236	0.0282	209	0.0488
HP:0000239	239	Large fontanelles	45	0.0054	45	0.0105
HP:0000240	240	Abnormality of skull size	1	0.0001	0	0
HP:0000242	242	Parietal bossing	11	0.0013	3	0.0007
HP:0000243	243	Trigonocephaly	48	0.0057	32	0.0075
HP:0000244	244	Brachyturricephaly	9	0.0011	6	0.0014
HP:0000245	245	Abnormal paranasal sinus morphology	1	0.0001	2	0.0005
HP:0000246	246	Sinusitis	16	0.0019	37	0.0086
HP:0000248	248	Brachycephaly	208	0.0249	136	0.0318
HP:0000250	250	Dense calvaria	3	0.0004	1	0.0002
HP:0000252	252	Microcephaly	1045	0.1250	589	0.1376
HP:0000253	253	Progressive microcephaly	67	0.0080	29	0.0068
HP:0000255	255	Acute sinusitis	0	0	0	0
HP:0000256	256	Macrocephaly	319	0.0381	232	0.0542
HP:0000260	260	Wide anterior fontanel	84	0.0100	30	0.0070
HP:0000262	262	Turricephaly	28	0.0033	24	0.0056
HP:0000263	263	Oxycephaly	7	0.0008	2	0.0005
HP:0000264	264	Abnormal mastoid morphology	1	0.0001	1	0.0002
HP:0000265	265	Mastoiditis	7	0.0008	2	0.0005
HP:0000267	267	Cranial asymmetry	4	0.0005	3	0.0007
HP:0000268	268	Dolichocephaly	137	0.0164	91	0.0213
HP:0000269	269	Prominent occiput	26	0.0031	34	0.0079
HP:0000270	270	Delayed cranial suture closure	34	0.0041	31	0.0072
HP:0000271	271	Abnormality of the face	14	0.0017	54	0.0126
HP:0000272	272	Malar flattening	228	0.0273	113	0.0264
HP:0000273	273	Facial grimacing	7	0.0008	12	0.0028
HP:0000274	274	Small face	15	0.0018	3	0.0007
HP:0000275	275	Narrow face	59	0.0071	50	0.0117
HP:0000276	276	Long face	181	0.0216	107	0.0250
HP:0000277	277	Abnormal mandible morphology	2	0.0002	10	0.0023
HP:0000278	278	Retrognathia	215	0.0257	109	0.0255
HP:0000280	280	Coarse facial features	185	0.0221	142	0.0332
HP:0000282	282	Facial edema	14	0.0017	28	0.0065
HP:0000283	283	Broad face	19	0.0023	2	0.0005
HP:0000286	286	Epicanthus	472	0.0564	317	0.0740
HP:0000287	287	Increased facial adipose tissue	3	0.0004	1	0.0002
HP:0000288	288	Abnormality of the philtrum	3	0.0004	13	0.0030
HP:0000289	289	Broad philtrum	22	0.0026	16	0.0037
HP:0000290	290	Abnormality of the forehead	0	0	9	0.0021
HP:0000291	291	Abnormality of facial adipose tissue	0	0	0	0
HP:0000292	292	Loss of facial adipose tissue	5	0.0006	4	0.0009
HP:0000293	293	Full cheeks	92	0.0110	91	0.0213
HP:0000294	294	Low anterior hairline	104	0.0124	45	0.0105
HP:0000295	295	Doll-like facies	3	0.0004	2	0.0005
HP:0000297	297	Facial hypotonia	37	0.0044	19	0.0044
HP:0000298	298	Mask-like facies	24	0.0029	31	0.0072
HP:0000300	300	Oval face	13	0.0016	4	0.0009
HP:0000301	301	Abnormality of facial musculature	0	0	2	0.0005
HP:0000303	303	Mandibular prognathia	194	0.0232	136	0.0318
HP:0000306	306	Abnormality of the chin	1	0.0001	5	0.0012
HP:0000307	307	Pointed chin	100	0.0120	43	0.0100
HP:0000308	308	Microretrognathia	63	0.0075	40	0.0093
HP:0000309	309	Abnormal midface morphology	0	0	9	0.0021
HP:0000311	311	Round face	93	0.0111	59	0.0138
HP:0000315	315	Abnormality of the orbital region	0	0	10	0.0023
HP:0000316	316	Hypertelorism	721	0.0862	498	0.1163
HP:0000317	317	Facial myokymia	6	0.0007	4	0.0009
HP:0000319	319	Smooth philtrum	192	0.0230	77	0.0180
HP:0000320	320	Bird-like facies	6	0.0007	6	0.0014
HP:0000321	321	Square face	14	0.0017	6	0.0014
HP:0000322	322	Short philtrum	199	0.0238	124	0.0290
HP:0000324	324	Facial asymmetry	90	0.0108	108	0.0252
HP:0000325	325	Triangular face	146	0.0175	69	0.0161
HP:0000326	326	Abnormal maxilla morphology	0	0	4	0.0009
HP:0000327	327	Hypoplasia of the maxilla	83	0.0099	63	0.0147
HP:0000329	329	Facial hemangioma	7	0.0008	7	0.0016
HP:0000331	331	Short chin	63	0.0075	23	0.0054
HP:0000336	336	Prominent supraorbital ridges	48	0.0057	26	0.0061
HP:0000337	337	Broad forehead	142	0.0170	100	0.0234
HP:0000338	338	Hypomimic face	23	0.0028	19	0.0044
HP:0000339	339	Pugilistic facies	2	0.0002	0	0
HP:0000340	340	Sloping forehead	93	0.0111	55	0.0128
HP:0000341	341	Narrow forehead	185	0.0221	45	0.0105
HP:0000343	343	Long philtrum	337	0.0403	208	0.0486
HP:0000346	346	Whistling appearance	3	0.0004	1	0.0002
HP:0000347	347	Micrognathia	615	0.0735	466	0.1089
HP:0000348	348	High forehead	191	0.0228	128	0.0299
HP:0000349	349	Widow's peak	22	0.0026	11	0.0026
HP:0000350	350	Small forehead	10	0.0012	4	0.0009
HP:0000356	356	Abnormality of the outer ear	6	0.0007	36	0.0084
HP:0000357	357	Abnormal location of ears	1	0.0001	0	0
HP:0000358	358	Posteriorly rotated ears	315	0.0377	251	0.0586
HP:0000359	359	Abnormality of the inner ear	0	0	8	0.0019
HP:0000360	360	Tinnitus	33	0.0039	36	0.0084
HP:0000362	362	Otosclerosis	11	0.0013	5	0.0012
HP:0000363	363	Abnormal earlobe morphology	1	0.0001	18	0.0042
HP:0000364	364	Hearing abnormality	12	0.0014	29	0.0068
HP:0000365	365	Hearing impairment	509	0.0609	373	0.0871
HP:0000366	366	Abnormality of the nose	1	0.0001	22	0.0051
HP:0000368	368	Low-set, posteriorly rotated ears	0	0	0	0
HP:0000369	369	Low-set ears	727	0.0869	279	0.0652
HP:0000370	370	Abnormality of the middle ear	1	0.0001	10	0.0023
HP:0000371	371	Acute otitis media	0	0	2	0.0005
HP:0000372	372	Abnormal auditory canal morphology	0	0	5	0.0012
HP:0000375	375	Abnormal cochlea morphology	1	0.0001	6	0.0014
HP:0000376	376	Incomplete partition of the cochlea type II	5	0.0006	0	0
HP:0000377	377	Abnormal pinna morphology	76	0.0091	90	0.0210
HP:0000378	378	Cupped ear	72	0.0086	17	0.0040
HP:0000381	381	Stapes ankylosis	7	0.0008	4	0.0009
HP:0000383	383	Abnormal periauricular region morphology	0	0	3	0.0007
HP:0000384	384	Preauricular skin tag	56	0.0067	53	0.0124
HP:0000385	385	Small earlobe	16	0.0019	13	0.0030
HP:0000387	387	Absent earlobe	10	0.0012	6	0.0014
HP:0000388	388	Otitis media	16	0.0019	27	0.0063
HP:0000389	389	Chronic otitis media	25	0.0030	46	0.0107
HP:0000391	391	Thickened helices	24	0.0029	16	0.0037
HP:0000394	394	Lop ear	6	0.0007	5	0.0012
HP:0000395	395	Prominent antihelix	16	0.0019	5	0.0012
HP:0000396	396	Overfolded helix	73	0.0087	29	0.0068
HP:0000399	399	Prelingual sensorineural hearing impairment	14	0.0017	5	0.0012
HP:0000400	400	Macrotia	181	0.0216	147	0.0343
HP:0000402	402	Stenosis of the external auditory canal	34	0.0041	14	0.0033
HP:0000403	403	Recurrent otitis media	182	0.0218	47	0.0110
HP:0000405	405	Conductive hearing impairment	128	0.0153	120	0.0280
HP:0000407	407	Sensorineural hearing impairment	533	0.0637	321	0.0750
HP:0000408	408	Progressive sensorineural hearing impairment	34	0.0041	14	0.0033
HP:0000410	410	Mixed hearing impairment	31	0.0037	16	0.0037
HP:0000411	411	Protruding ear	131	0.0157	114	0.0266
HP:0000413	413	Atresia of the external auditory canal	39	0.0047	38	0.0089
HP:0000414	414	Bulbous nose	177	0.0212	83	0.0194
HP:0000415	415	Abnormal choanae morphology	0	0	0	0
HP:0000417	417	Slender nose	4	0.0005	3	0.0007
HP:0000418	418	Narrow nasal ridge	22	0.0026	3	0.0007
HP:0000419	419	Abnormal nasal septum morphology	1	0.0001	1	0.0002
HP:0000420	420	Short nasal septum	2	0.0002	0	0
HP:0000421	421	Epistaxis	59	0.0071	63	0.0147
HP:0000422	422	Abnormal nasal bridge morphology	1	0.0001	3	0.0007
HP:0000426	426	Prominent nasal bridge	147	0.0176	106	0.0248
HP:0000429	429	Abnormal morphology of the nasal alae	0	0	0	0
HP:0000430	430	Underdeveloped nasal alae	102	0.0122	73	0.0171
HP:0000431	431	Wide nasal bridge	391	0.0468	248	0.0579
HP:0000433	433	Abnormal nasal mucosa morphology	0	0	1	0.0002
HP:0000434	434	Nasal mucosa telangiectasia	3	0.0004	1	0.0002
HP:0000436	436	Abnormal nasal tip morphology	0	0	1	0.0002
HP:0000437	437	Depressed nasal tip	25	0.0030	14	0.0033
HP:0000444	444	Convex nasal ridge	73	0.0087	66	0.0154
HP:0000445	445	Wide nose	80	0.0096	74	0.0173
HP:0000446	446	Narrow nasal bridge	18	0.0022	29	0.0068
HP:0000447	447	Pear-shaped nose	5	0.0006	2	0.0005
HP:0000448	448	Prominent nose	112	0.0134	51	0.0119
HP:0000451	451	Triangular nasal tip	1	0.0001	1	0.0002
HP:0000452	452	Choanal stenosis	30	0.0036	6	0.0014
HP:0000453	453	Choanal atresia	60	0.0072	60	0.0140
HP:0000454	454	Flared nostrils	10	0.0012	5	0.0012
HP:0000455	455	Broad nasal tip	129	0.0154	69	0.0161
HP:0000456	456	Bifid nasal tip	24	0.0029	7	0.0016
HP:0000457	457	Depressed nasal ridge	35	0.0042	66	0.0154
HP:0000458	458	Anosmia	45	0.0054	13	0.0030
HP:0000460	460	Narrow nose	31	0.0037	5	0.0012
HP:0000463	463	Anteverted nares	383	0.0458	226	0.0528
HP:0000464	464	Abnormality of the neck	8	0.0010	24	0.0056
HP:0000465	465	Webbed neck	92	0.0110	61	0.0142
HP:0000466	466	Limited neck range of motion	4	0.0005	1	0.0002
HP:0000467	467	Neck muscle weakness	37	0.0044	23	0.0054
HP:0000468	468	Increased adipose tissue around the neck	3	0.0004	3	0.0007
HP:0000470	470	Short neck	305	0.0365	242	0.0565
HP:0000471	471	Gastrointestinal angiodysplasia	3	0.0004	6	0.0014
HP:0000472	472	Long neck	10	0.0012	4	0.0009
HP:0000473	473	Torticollis	72	0.0086	40	0.0093
HP:0000474	474	Thickened nuchal skin fold	19	0.0023	30	0.0070
HP:0000475	475	Broad neck	30	0.0036	15	0.0035
HP:0000476	476	Cystic hygroma	31	0.0037	19	0.0044
HP:0000478	478	Abnormality of the eye	24	0.0029	108	0.0252
HP:0000479	479	Abnormal retinal morphology	5	0.0006	14	0.0033
HP:0000480	480	Retinal coloboma	25	0.0030	16	0.0037
HP:0000481	481	Abnormal cornea morphology	3	0.0004	13	0.0030
HP:0000482	482	Microcornea	74	0.0088	60	0.0140
HP:0000483	483	Astigmatism	125	0.0149	66	0.0154
HP:0000484	484	Hyperopic astigmatism	4	0.0005	3	0.0007
HP:0000485	485	Megalocornea	22	0.0026	19	0.0044
HP:0000486	486	Strabismus	639	0.0764	499	0.1166
HP:0000488	488	Retinopathy	27	0.0032	52	0.0121
HP:0000490	490	Deeply set eye	238	0.0285	137	0.0320
HP:0000491	491	Keratitis	24	0.0029	36	0.0084
HP:0000492	492	Abnormal eyelid morphology	2	0.0002	33	0.0077
HP:0000493	493	Abnormal foveal morphology	0	0	6	0.0014
HP:0000494	494	Downslanted palpebral fissures	413	0.0494	274	0.0640
HP:0000495	495	Recurrent corneal erosions	13	0.0016	10	0.0023
HP:0000496	496	Abnormality of eye movement	30	0.0036	62	0.0145
HP:0000497	497	Globe retraction and deviation on abduction	0	0	0	0
HP:0000498	498	Blepharitis	16	0.0019	21	0.0049
HP:0000499	499	Abnormal eyelash morphology	7	0.0008	31	0.0072
HP:0000501	501	Glaucoma	119	0.0142	128	0.0299
HP:0000502	502	Abnormal conjunctiva morphology	5	0.0006	6	0.0014
HP:0000503	503	Tortuosity of conjunctival vessels	4	0.0005	1	0.0002
HP:0000504	504	Abnormality of vision	4	0.0005	75	0.0175
HP:0000505	505	Visual impairment	278	0.0332	216	0.0505
HP:0000506	506	Telecanthus	153	0.0183	121	0.0283
HP:0000508	508	Ptosis	485	0.0580	303	0.0708
HP:0000509	509	Conjunctivitis	48	0.0057	49	0.0114
HP:0000510	510	Rod-cone dystrophy	186	0.0222	40	0.0093
HP:0000511	511	Vertical supranuclear gaze palsy	13	0.0016	11	0.0026
HP:0000512	512	Abnormal electroretinogram	33	0.0039	34	0.0079
HP:0000514	514	Slow saccadic eye movements	34	0.0041	17	0.0040
HP:0000517	517	Abnormal lens morphology	1	0.0001	1	0.0002
HP:0000518	518	Cataract	361	0.0432	315	0.0736
HP:0000519	519	Developmental cataract	92	0.0110	44	0.0103
HP:0000520	520	Proptosis	176	0.0210	147	0.0343
HP:0000522	522	Alacrima	23	0.0028	7	0.0016
HP:0000523	523	Subcapsular cataract	7	0.0008	3	0.0007
HP:0000524	524	Conjunctival telangiectasia	13	0.0016	7	0.0016
HP:0000525	525	Abnormality iris morphology	0	0	6	0.0014
HP:0000526	526	Aniridia	16	0.0019	13	0.0030
HP:0000527	527	Long eyelashes	119	0.0142	46	0.0107
HP:0000528	528	Anophthalmia	28	0.0033	27	0.0063
HP:0000529	529	Progressive visual loss	48	0.0057	35	0.0082
HP:0000531	531	Corneal crystals	4	0.0005	6	0.0014
HP:0000532	532	Abnormal chorioretinal morphology	1	0.0001	8	0.0019
HP:0000533	533	Chorioretinal atrophy	33	0.0039	12	0.0028
HP:0000534	534	Abnormal eyebrow morphology	4	0.0005	28	0.0065
HP:0000537	537	Epicanthus inversus	16	0.0019	4	0.0009
HP:0000538	538	Pseudopapilledema	2	0.0002	4	0.0009
HP:0000539	539	Abnormality of refraction	2	0.0002	18	0.0042
HP:0000540	540	Hypermetropia	174	0.0208	70	0.0164
HP:0000541	541	Retinal detachment	72	0.0086	60	0.0140
HP:0000542	542	Impaired ocular adduction	4	0.0005	2	0.0005
HP:0000543	543	Optic disc pallor	146	0.0175	41	0.0096
HP:0000544	544	External ophthalmoplegia	35	0.0042	13	0.0030
HP:0000545	545	Myopia	256	0.0306	205	0.0479
HP:0000546	546	Retinal degeneration	70	0.0084	21	0.0049
HP:0000548	548	Cone/cone-rod dystrophy	37	0.0044	6	0.0014
HP:0000549	549	Abnormal conjugate eye movement	4	0.0005	2	0.0005
HP:0000550	550	Undetectable electroretinogram	31	0.0037	2	0.0005
HP:0000551	551	Color vision defect	28	0.0033	25	0.0058
HP:0000552	552	Tritanomaly	9	0.0011	3	0.0007
HP:0000553	553	Abnormal uvea morphology	0	0	4	0.0009
